Generation	ID	Survival_Time	Response_Time	Capture_Time	Luminance_Difference	Contrast_Difference	Colour_Difference	GabRat_Edge_Disruption	BgLocal_Luminance	BgLocal_Contrast	BgLocal_A	BgLocal_B	Target_Luminance	Target_Contrast	Target_A	Target_B	Image_ID	X_Coordinate	Y_Coordinate	Rotation	Flip	speckling_intensity	speckling_sigma	pttn_x	pttn_y	pttn_width	pttn_aspect_ratio	pttn_angle	pttn_coverage	pttn_CS_sigma	pttn_CS_height	pttn_CS_angle	pttn_E_sigma	pttn_E_noise	EE_intensity	EE_sigma	unit_C_0	pttn_L	pttn_A	pttn_B	unit_C_1	top_L	top_A	top_B	unit_C_2	bottom_L	bottom_A	bottom_B	unit_C_N	col_sigma	col_height	Parent1	Parent2
0	Gen0_Mut0_ID20	502	502	733	15.3012	13.9149	14.496	0.2127	52.6195	17.7364	2.3112	9.8737	37.3183	3.8215	15.9063	14.9042	2.jpg	302.0677	261.6952	-11.7355	Horiz	0.17	0.7104	0.5372	0.5285	0.1415	0.0692	0.8315	0.0794	0.7547	0.4589	0.5456	0.287	0.6229	0.3367	0.8361	0.9229	0.1756	0.8168	0.9698	0.4105	0.64	0.7703	0.383	0.735	0.0968	0.7666	0.9513	0.9442	0.499	0.807	none	none
0	Gen0_Mut0_ID9	597	597	820	42.3519	9.8626	5.438	0.139	52.4855	17.8108	1.929	11.4871	10.1336	7.9482	-3.4657	10.8022	1.jpg	402.2191	788.6462	-10.2504	none	0.4329	0.5617	0.6146	0.2984	0.3488	0.6734	0.9896	0.6526	0.1428	0.671	0.4688	0.3888	0.2617	0.1747	0.5001	0.8045	0.6969	0.8316	0.2703	0.1929	0.9891	0.0236	0.4927	0.6318	0.9228	0.8402	0.2716	0.7316	0.4181	0.465	none	none
0	Gen0_Mut0_ID3	469	469	701	41.9793	13.6093	20.2039	0.1943	54.2909	19.5967	2.6497	10.2449	12.3115	5.9874	22.0923	15.7389	0.jpg	319.1942	763.9911	71.4191	none	0.7096	0.6105	0.8915	0.1192	0.7086	0.9945	0.4092	0.2257	0.9758	0.0094	0.2802	0.5177	0.5939	0.9238	0.3524	0.3989	0.6382	0.8349	0.1615	0.9828	0.2323	0.0412	0.2601	0.8874	0.1207	0.6421	0.5032	0.0416	0.3088	0.7233	none	none
0	Gen0_Mut0_ID13	699	588	699	15.4175	13.7149	4.0716	0.2948	52.2878	19.4604	3.1216	11.3771	36.8703	33.1754	-0.4474	9.4174	3.jpg	451.8125	602.9773	71.2977	Horiz	0.8079	0.4725	0.5686	0.3378	0.9147	0.286	0.6448	0.3794	0.9826	0.8252	0.8042	0.3581	0.4241	0.3016	0.9716	0.0343	0.248	0.0249	0.0669	0.846	0.3224	0.7311	0.3178	0.0714	0.3879	0.4037	0.2602	0.7104	0.3593	0.4156	none	none
1	Gen0_Mut0_ID14	997	997	1329	8.9471	2.8586	7.5015	0.3225	57.7549	18.2621	2.3226	11.4559	66.702	15.4034	-3.8949	7.259	2.jpg	868.4602	762.9006	-24.4924	none	0.8586	0.1392	0.4381	0.7816	0.6782	0.6938	0.8247	0.8026	0.3254	0.4751	0.3656	0.409	0.434	0.8284	0.3039	0.0651	0.3216	0.1515	0.4065	0.1839	0.0637	0.9097	0.1383	0.6203	0.1445	0.9962	0.222	0.9585	0.027	0.8659	none	none
1	Gen1_Mut0_ID5	2410	2410	2747	5.355	5.3437	9.1593	0.329	51.3646	18.3807	2.2169	11.1912	56.7196	13.037	-0.0073	2.3061	1.jpg	368.9656	202.2995	-74.0138	none	0.2254	0.2664	0.3649	0.0541	0.0196	0.9117	0.1265	0.1952	0.8137	0.4255	0.9386	0.1732	0.711	0.6027	0.3759	0.7249	0.0558	0.5217	0.1071	0.5352	0.8824	0.6283	0.7554	0.4207	0.0901	0.2976	0.4572	0.9078	0.5143	0.1462	none	none
1	Gen1_Mut0_ID3	619	619	951	11.5766	0.4363	11.5659	0.3838	49.5577	21.2456	3.6469	11.7417	37.9811	21.6819	-7.2339	15.663	0.jpg	1138.4012	695.9086	54.2871	Horiz	0.8586	0.1392	0.4381	0.7816	0.6782	0.6938	0.8247	0.8026	0.3254	0.4751	0.3656	0.409	0.434	0.8284	0.3039	0.0651	0.3216	0.1515	0.4065	0.1839	0.0637	0.9097	0.1383	0.6203	0.1445	0.9962	0.222	0.9585	0.027	0.8659	none	none
1	Gen1_Mut0_ID10	483	483	965	15.4069	1.0298	4.5688	0.2657	48.4715	16.1994	1.6447	10.8429	33.0646	15.1696	-2.9237	10.9051	3.jpg	1119.5156	772.8473	-63.0038	none	0.3255	0.9592	0.6589	0.9486	0.0656	0.6744	0.0816	0.6948	0.673	0.3964	0.8653	0.1992	0.5193	0.8151	0.1673	0.8601	0.2736	0.9704	0.9158	0.4467	0.0565	0.6984	0.1582	0.8418	0.5458	0.6145	0.2747	0.7825	0.2661	0.8635	none	none
1	Gen0_Mut0_ID6	882	882	1107	5.9662	8.454	12.3115	0.3028	49.3176	20.0551	3.0706	12.0885	55.2838	11.601	0.3597	0.0791	2.jpg	815.8919	336.2179	-35.6878	Horiz	0.9782	0.9436	0.1201	0.2467	0.4281	0.8512	0.9281	0.6062	0.6191	0.9075	0.2665	0.9131	0.8592	0.3281	0.6181	0.6582	0.7245	0.317	0.5123	0.77	0.3038	0.3101	0.9696	0.0298	0.5115	0.9302	0.8862	0.848	0.046	0.3761	none	none
1	Gen0_Mut0_ID7	1510	1155	1510	10.0438	6.7623	9.7168	0.4209	52.1462	19.2994	2.1232	9.8031	62.19	12.5371	6.3295	18.5623	0.jpg	445.8746	613.5834	-70.5528	Horiz	0.7381	0.523	0.1189	0.6364	0.8502	0.1325	0.7387	0.4506	0.8887	0.6322	0.5646	0.3016	0.5559	0.9504	0.1262	0.6871	0.0329	0.2551	0.8905	0.2919	0.7953	0.9804	0.6343	0.0151	0.6365	0.1818	0.2679	0.4461	0.5746	0.8004	none	none
